;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Referente;Doc;C Nr / Pedido;Op/Proj;Classificação;Categoria;Prestador;Estab;CNPJ;Cod Datasul;Situação;Status;Valor R$
;2021;abr;15/04/21;01/04/21;05/05/21;CONTRATO;GRENKE - EQUIPLEX 1;Loc.Equip: Notebooks, Coletores;Fatura 1;30128;976;0;INFRA ;Locação;GC LOCAÇÃO DE EQUIP LTDA;EQUIPLEX;14.262.033/0001-14;2230;INATIVO;LANÇADO; 1.156,00 
;2021;abr;15/04/21;01/04/21;05/05/21;CONTRATO;GRENKE - EQUIPLEX 2;Loc.Equip: Notebooks, Coletores;Fatura 2;30414;976;0;INFRA ;Locação;GC LOCAÇÃO DE EQUIP LTDA;EQUIPLEX;14.262.033/0001-14;2230;INATIVO;LANÇADO; 1.926,94 
;2021;abr;15/04/21;01/04/21;05/05/21;CONTRATO;GRENKE - I7;Loc.Equip: Notebooks, Coletores;Nota I7;31664;987;0;INFRA ;Locação;GC LOCAÇÃO DE EQUIP LTDA;I7 NÚCLEO;14.262.033/0001-14;2230;INATIVO;LANÇADO; 843,78 
;2021;abr;01/04/21;01/04/21;10/04/21;CONTRATO;ILOC3 LOCAÇÕES - EQUIPLEX;P 02/12;NF 2 - Equiplex;33;969;0;INFRA;Locação;ILOC3 LOCAÇÕES E SERVIÇOS LTDA;EQUIPLEX;35.665.923/0001-47;2446;INATIVO;LANÇADO; 2.886,29 
;2021;abr;01/04/21;01/04/21;20/04/21;CONTRATO;ALLE TECNOLOGIA;P 01/12;Gestão de ERP Totvs 12;2474;994;O;DATASUL;Consultoria Software;ALLE TECNOLOGIA LTDA ME;I7 NÚCLEO;21.067.649/0001-08;1082;ATIVO;LANÇADO; 800,00 
;2021;abr;01/04/21;01/04/21;20/04/21;CONTRATO;APN ;P 01/12;Link Radio;131;963;0;CONECTIVIDADE;Internet;APN NETWORKS LTDA;I7 NÚCLEO;07.895.690/0001-33;261263;INATIVO;LANÇADO; 334,95 
;2021;abr;05/04/21;01/04/21;12/05/21;CONTRATO;VIRTOS BACKUP;P 01/12;Backup na Nuvem;16163;516;O;SEGURANCA;Consultoria;VIRTOS INFORMÁTICA LTDA;EQUIPLEX;03.348.929/0001-02;260982;ATIVO;LANÇADO; 390,00 
;2021;abr;07/04/21;01/04/21;15/04/21;CONTRATO;OI - TELECOM GERAL - DDR;;OI - DDR;1880819;1006;0;CONECTIVIDADE;Telefonia;OI S.A.;EQUIPLEX;76.535.764/0328-51;20119;INATIVO;LANÇADO; 1.275,13 
;2021;abr;07/04/21;01/04/21;15/04/21;CONTRATO;OI - TELECOM GERAL - 0800;;OI - 0800;2275191;956;O;CONECTIVIDADE;Telefonia;OI S.A.;EQUIPLEX;76.535.764/0328-51;20119;ATIVO;LANÇADO; 304,76 
;2021;abr;01/04/21;01/04/21;10/04/21;CONTRATO;ILOC3 LOCAÇÕES - I7;P 02/12;NF 1 - I7;34;951;0;INFRA;Locação;ILOC3 LOCAÇÕES E SERVIÇOS LTDA;I7 NÚCLEO;35.665.923/0001-47;2446;INATIVO;LANÇADO; 2.943,90 
;2021;abr;06/04/21;03/04/21;20/04/21;CONTRATO;ALGAR - TRANSPLEX;Parcela 01/36;Internet;74895;876;0;CONECTIVIDADE;Internet;ALGAR SOLUCOES EM TIC S/A;TRANSPLEX;22.166.193/0010-89;8716;INATIVO;LANÇADO; 1.494,50 
;2021;abr;14/04/21;03/04/21;20/05/21;CONTRATO;ALGAR TELECOM - I7;P 01/12;Internet;14152;949;0;CONECTIVIDADE;Internet;ALGAR MULTIMIDIA S/A;I7 NÚCLEO;04.622.116/0010-04;983;INATIVO;LANÇADO; 3.887,33 
;2021;abr;05/04/21;05/04/21;15/04/21;CONTRATO;GLOBO SOLUÇÕES - ALOS;P 01/12;Crachás para o DP;5960;993;0;LOCAÇÃO;Consultoria;CLEONICE DIAS BRAGA PATURY;ALOS;21.121.429/0001-07;9134;INATIVO;LANÇADO; 350,00 
;2021;abr;14/04/21;05/04/21;22/04/21;CONTRATO;TOTVS 01 - A42305/05;Manutenção Datasul - ERP;TOTVS 1 - A42305/05;797614;134;0;DATASUL;Consultoria Software;TOTVS S.A.;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 2.629,60 
;2021;abr;05/04/21;05/04/21;14/04/21;CONTRATO;VALCANAIA;Demanda;Consultoria Financeira;168;999;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 1.024,80 
