;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Descrição;Doc;C Nr / Pedido;Conta;Op/Proj;Classificação;Categoria;Prestador;Descrição2;Estab;CNPJ;Cod Datasul;Situação;Status; Valor R$ 
;2024;jan;26/01/24;19/01/24;03/02/24;PEDIDO;COMPEX - I7;Demanda;Compra da capas p/AQ7;14273;66386;4210302;0;0;Locação;COMPEX TECNOLOGIA LTDA;Locação de Equipamentos de TI;I7 NÚCLEO;03.391.625/0004-62;8664;ATIVO;LANÇADO; 5.742,00 
;2024;jan;22/01/24;22/01/24;04/02/24;CONTRATO;HCOMPANY-EQUIPLEX-LOC;P 01/12;Contrato Locação - Equiplex;1012024;1215;4210330;O;LOCACAO EQUIPAMENTOS;Locação;H.COMPANY LTDA;Prestação de Serviços;EQUIPLEX;46.448.859/0001-69;11283;ATIVO;LANÇADO; 203.626,06 
;2024;jan;22/01/24;22/01/24;04/02/24;CONTRATO;HCOMPANY-TRANSPLEX-LOC;P 01/12;Contrato Locação - Transplex;2012024;1213;4210330;O;LOCACAO EQUIPAMENTOS;Locação;H.COMPANY LTDA;Prestação de Serviços;TRANSPLEX;46.448.859/0001-69;11283;ATIVO;LANÇADO; 123.122,63 
;2024;jan;23/01/24;23/01/24;01/02/24;PEDIDO;INGRAM902-HCOMPANY;Demanda;2 Garantias de 3 anos;2012580;65822;9010103;0;0;Consultoria;INGRAM MICRO BRASIL LTDA;Consultoria;H.SOLUÇÕES;01.771.935/0010-25;902;ATIVO;LANÇADO; 8.522,00 
;2024;jan;23/01/24;23/01/24;04/02/24;CONTRATO;HCOMPANY-HOSPDROGAS-LOC;P 01/12;Contrato Locação - Hospdrogas;3012024;1214;4210330;O;LOCACAO EQUIPAMENTOS;Locação;H.COMPANY LTDA;Prestação de Serviços;HOSPDROGAS;46.448.859/0001-69;11283;ATIVO;LANÇADO; 168.074,87 
;2024;jan;23/01/24;23/01/24;01/02/24;CONTRATO;LZ GESTÃO;Demanda;Roit;23;1362;4210302;0;0;Consultoria;LZ GESTÃO DE TI LTDA;Consultoria;I7 NÚCLEO;48.421.249/0001-05;11235;INATIVO;LANÇADO; 6.522,00 
;2024;jan;23/01/24;23/01/24;20/02/24;CONTRATO;INGRAM - OFFICE 365;P 01/12;Office 365 Licença + Aditivo;2015936;627;4210302;O;LICENCAS MICROSOFT;Consultoria Software;INGRAM - MICROSOFT;Office 365 Licença;EQUIPLEX;01.771.935/0002-15;261179;ATIVO;LANÇADO; 21.974,49 
;2024;jan;29/01/24;23/01/24;07/02/24;PEDIDO;COMPEX - HCOMPANY;Demanda;08 coletores AQ9, Cradle e Capas;14299;66449;4210302;0;0;Locação;COMPEX TECNOLOGIA LTDA;Locação de Equipamentos de TI;H.SOLUÇÕES;03.391.625/0004-62;8664;ATIVO;LANÇADO; 22.313,68 
;2024;jan;29/01/24;23/01/24;07/02/24;PEDIDO;COMPEX - HCOMPANY;Demanda;08 Licenças de uso softw coletores;4943;66468;4210302;0;0;Locação;COMPEX TECNOLOGIA LTDA;Locação de Equipamentos de TI;H.SOLUÇÕES;03.391.625/0004-62;8664;ATIVO;LANÇADO; 10.876,80 
;2024;jan;23/01/24;23/01/24;05/02/24;CONTRATO;VOGEL-ALGAR - EQUIPLEX;P 01/12;Serviço de Internet;44849;1208;4210508;O;CONECTIVIDADE;Internet;VOGEL SOL. EM TEL. E INF. S/A;Serviços de Internet;EQUIPLEX;05.872.814/0018-88;11460;ATIVO;LANÇADO; 1.702,02 
;2024;jan;23/01/24;23/01/24;19/02/24;PEDIDO;DIPS DISTRIBUIDORA;Demanda;Compra de HDS 8T;145502;66444;4210302;0;0;Consultoria;DIPS DISTRI DE PRODUTS ELETR LTDA;0;I7 NÚCLEO;36.868.974/0001-39;8520;ATIVO;LANÇADO; 6.524,76 
;2024;jan;23/01/24;23/01/24;01/02/24;CONTRATO;VALCANAIA;P 01/12;Prestação de Serviços;287;999;4210317;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;Consultoria Financeira;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 8.119,00 
;2024;jan;24/01/24;24/01/24;04/02/24;CONTRATO;HCOMPANY-EQUIPLEX-SERV;P 01/12;Prestação de Serviços;41;1210;4210317;O;LOCACAO EQUIPAMENTOS;Consultoria;H.COMPANY LTDA;Locação de Equipamentos de TI;EQUIPLEX;46.448.859/0001-69;11283;ATIVO;LANÇADO; 160.610,00 
;2024;jan;24/01/24;24/01/24;01/02/24;CONTRATO;CARLOS DIAS (MGC);Demanda;Consultoria de Servidores;1474;980;4210317;O;SUPORTE  INFRA;Consultoria;CARLOS DIAS OLIVEIRA DOMINGUES;Consultoria Servidores;I7 NÚCLEO;11.083.929/0001-48;499;ATIVO;LANÇADO; 10.590,00 
;2024;jan;25/01/24;25/01/24;26/02/24;CONTRATO;NEOMIND - P15110/21;P 01/12;Taxa de Manutenção;19169;954;4210317;O;BPM;Consultoria Software;NEOMIND SOLUTIONS INFORMATICA LTDA;Tx.Manutenção - Proposta 15110/21;I7 NÚCLEO;08.032.121/0001-27;909;ATIVO;LANÇADO; 997,68 
;2024;jan;25/01/24;25/01/24;26/02/24;CONTRATO;NEOMIND - P3916/18;P 01/12;Licença de Uso Fusion;19170;954;4210317;O;BPM;Consultoria Software;NEOMIND SOLUTIONS INFORMATICA LTDA;Tx.Manutenção - Proposta 3916/18;I7 NÚCLEO;08.032.121/0001-27;909;ATIVO;LANÇADO; 2.464,96 
;2024;jan;29/01/24;25/01/24;24/02/24;PEDIDO;TEK ATACADO;Demanda;Controle de Acesso DS-k1, pedido original 66509;31537;66585;0;0;0;Consultoria;TEK ATACADO DISTRIBUIDOR DE SEG ELETRONICA;Equipamentos;HOSPDROGAS;27.316.854/0001-38;4654;ATIVO;LANÇADO; 1.237,58 
;2024;jan;26/01/24;26/01/24;01/02/24;PEDIDO;SECURITSOFT;Demanda;Compra Antivirus BitDefender;73058;66577;4210317;0;0;Consultoria;SECURITSOFT DO BRASIL - EIRELI;Bitdefender - AV;I7 NÚCLEO;07.760.258/0001-35;261836;INATIVO;LANÇADO; 5.525,00 
